lot_number,sku_id,supplier_name,test_date,delta_p_mbar,test_temp_c,lot_age_days,el_measurement,el_compound,scn_reference,scn_impact_score,coa_complete,result
SAR-0001,Flexsafe-STR-200L,Sartorius Stedim,2024-01-03,1.509,21.1,71,0.2035,DEHP,,,True,PASS
CYT-0002,Xcellerex-2000L,Cytiva,2024-01-07,1.836,20.2,87,0.1796,BHT,,,True,PASS
PAL-0003,Allegro-3D-50L,Pall Corporation,2024-01-10,2.018,20.6,37,0.2082,Irganox-1076,,,True,PASS
SAR-0004,Flexsafe-STR-50L,Sartorius Stedim,2024-01-13,1.903,19.7,25,0.202,DEHP,,,True,PASS
CYT-0005,Xcellerex-200L,Cytiva,2024-01-15,1.609,21.5,69,0.1761,BHT,,,True,PASS
PAL-0006,Allegro-TFF-1m2,Pall Corporation,2024-01-20,1.949,20.8,23,0.1903,Irganox-1076,,,True,PASS
SAR-0007,Flexsafe-STR-200L,Sartorius Stedim,2024-01-23,1.686,20.1,68,0.1597,DEHP,,,True,PASS
CYT-0008,Xcellerex-2000L,Cytiva,2024-01-26,1.768,19.8,22,0.1594,BHT,,,True,PASS
PAL-0009,Allegro-3D-50L,Pall Corporation,2024-01-29,1.952,20.0,43,0.1858,Irganox-1076,,,True,PASS
SAR-0010,Flexsafe-STR-50L,Sartorius Stedim,2024-02-01,2.044,20.7,30,0.197,DEHP,,,False,PASS
CYT-0011,Xcellerex-200L,Cytiva,2024-02-04,1.977,19.3,72,0.172,BHT,,,True,PASS
PAL-0012,Allegro-TFF-1m2,Pall Corporation,2024-02-06,1.723,21.7,54,0.1584,Irganox-1076,,,True,PASS
SAR-0013,Flexsafe-STR-200L,Sartorius Stedim,2024-02-10,1.706,20.6,53,0.1947,DEHP,,,True,PASS
CYT-0014,Xcellerex-2000L,Cytiva,2024-02-13,1.702,20.1,32,0.2014,BHT,,,True,PASS
PAL-0015,Allegro-3D-50L,Pall Corporation,2024-02-16,1.483,19.8,77,0.1924,Irganox-1076,,,True,PASS
SAR-0016,Flexsafe-STR-50L,Sartorius Stedim,2024-02-18,1.68,20.6,61,0.1956,DEHP,,,True,PASS
CYT-0017,Xcellerex-200L,Cytiva,2024-02-21,1.615,20.2,74,0.1705,BHT,,,True,PASS
PAL-0018,Allegro-TFF-1m2,Pall Corporation,2024-02-25,1.669,20.5,45,0.192,Irganox-1076,,,True,PASS
SAR-0019,Flexsafe-STR-200L,Sartorius Stedim,2024-02-27,1.772,20.2,44,0.178,DEHP,,,True,PASS
CYT-0020,Xcellerex-2000L,Cytiva,2024-03-02,1.43,19.7,14,0.19,BHT,,,True,PASS
PAL-0021,Allegro-3D-50L,Pall Corporation,2024-03-04,2.164,20.2,29,0.1984,Irganox-1076,,,True,PASS
SAR-0022,Flexsafe-STR-50L,Sartorius Stedim,2024-03-08,1.534,20.2,29,0.201,DEHP,,,True,PASS
CYT-0023,Xcellerex-200L,Cytiva,2024-03-11,1.867,20.0,32,0.1438,BHT,,,True,PASS
PAL-0024,Allegro-TFF-1m2,Pall Corporation,2024-03-13,1.865,20.5,66,0.22,Irganox-1076,,,True,PASS
SAR-0025,Flexsafe-STR-200L,Sartorius Stedim,2024-03-16,1.85,20.7,14,0.214,DEHP,,,True,PASS
CYT-0026,Xcellerex-2000L,Cytiva,2024-03-19,2.21,19.5,18,0.164,BHT,,,True,PASS
PAL-0027,Allegro-3D-50L,Pall Corporation,2024-03-23,1.415,21.0,55,0.1744,Irganox-1076,,,True,PASS
